materia,argomento,domanda,A,B,C,D,E,corretta,spiegazione,difficolta
Chimica,Struttura atomica,Il numero atomico di un elemento corrisponde al numero di:,neutroni,elettroni più neutroni,protoni nel nucleo,isotopi presenti,orbitali completi,C,"Il numero atomico Z identifica il numero di protoni del nucleo e quindi l'elemento.",1
Chimica,Legami chimici,Un legame ionico si forma tipicamente tra:,due non metalli con simile elettronegatività,un metallo e un non metallo,due gas nobili,due metalli di transizione,un metallo e un gas nobile,B,"Il legame ionico nasce dal trasferimento di elettroni tra specie con forte differenza di elettronegatività.",1
Chimica,Stechiometria,La formula dell'acqua è:,H2O2,H2O,HO,H3O,O2H,B,"L'acqua è composta da due atomi di idrogeno e uno di ossigeno.",1
Chimica,Acidi e basi,Una soluzione con pH 2 è:,fortemente basica,debolmente basica,neutra,acida,sempre tampone,D,"Un pH inferiore a 7 indica acidità; pH 2 è fortemente acido.",1
Chimica,Reazioni chimiche,In una reazione di ossidazione una specie chimica:,acquista elettroni,perde elettroni,non cambia numero di ossidazione,si trasforma sempre in gas,diventa necessariamente un acido,B,"Ossidazione significa perdita di elettroni e aumento del numero di ossidazione.",2
Chimica,Gas,La legge di Avogadro afferma che a stessa temperatura e pressione volumi uguali di gas diversi contengono:,uguale massa,uguale numero di molecole,uguale densità,uguale energia interna,uguale velocità media delle particelle,B,"La legge di Avogadro collega volume e numero di particelle a T e P costanti.",2
Chimica,Soluzioni,La molarità è definita come:,moli di soluto per chilogrammo di solvente,moli di soluto per litro di soluzione,grammi di soluto per litro di solvente,equivalenti per litro di soluzione,litri di solvente per mole di soluto,B,"La molarità si esprime in mol/L di soluzione.",1
Chimica,Chimica organica,Quale gruppo funzionale caratterizza un alcol?,-CHO,-COOH,-OH,-NH2,-COO-,C,"Gli alcoli contengono il gruppo ossidrilico -OH legato a un carbonio saturo.",1
Chimica,Tavola periodica,L'elettronegatività lungo un periodo della tavola periodica tende generalmente a:,diminuire da sinistra a destra,aumentare da sinistra a destra,rimanere costante,annullarsi nei non metalli,dipendere solo dalla massa atomica,B,"Lungo un periodo aumenta l'attrazione del nucleo sugli elettroni di legame.",2
Chimica,Equilibrio chimico,Un catalizzatore in una reazione all'equilibrio:,sposta l'equilibrio verso i prodotti,riduce la quantità dei reagenti,accelera sia la reazione diretta sia la inversa,modifica la costante di equilibrio,impedisce la reazione inversa,C,"Il catalizzatore non cambia la posizione di equilibrio ma solo la velocità con cui viene raggiunto.",2
Chimica,Stechiometria,Quante moli di ossigeno molecolare servono per bruciare completamente 1 mole di metano?,"0,5",1,2,3,4,C,"La reazione bilanciata è CH4 + 2 O2 -> CO2 + 2 H2O.",2
Chimica,Acidi e basi,Secondo Brønsted-Lowry una base è una specie che:,cede protoni,accetta protoni,cede elettroni,accetta neutroni,aumenta sempre il pH in ogni solvente,B,"La definizione di Brønsted-Lowry identifica le basi come accettori di protoni.",2
Chimica,Termochimica,Una reazione esotermica:,assorbe calore dall'ambiente,ha variazione di entalpia positiva,libera calore nell'ambiente,non scambia energia,può avvenire solo in acqua,C,"Nelle reazioni esotermiche il sistema cede calore e la variazione di entalpia è negativa.",1
Chimica,Elettrochimica,All'anodo di una pila galvanica avviene:,una riduzione,un'ossidazione,la precipitazione di un sale,la neutralizzazione di un acido,sempre la formazione di idrogeno,B,"Nelle pile l'anodo è il polo in cui avviene l'ossidazione.",3
Chimica,Chimica organica,Quale composto appartiene agli idrocarburi aromatici?,Etano,Etene,Benzene,Etanolo,Acetone,C,"Il benzene è il prototipo dei composti aromatici.",1
Chimica,Struttura atomica,Un isotopo di un elemento differisce da un altro isotopo dello stesso elemento per il numero di:,protoni,elettroni in un atomo neutro,neutroni,orbitali occupati,legami covalenti,C,"Gli isotopi hanno uguale numero atomico ma diverso numero di neutroni.",1
Chimica,Solubilità,Quando si scioglie cloruro di sodio in acqua si formano principalmente:,molecole di NaCl neutre inalterate,ioni Na+ e Cl-,atomi isolati di sodio e cloro,ioni Na2+ e Cl2-,solo legami covalenti,B,"In acqua NaCl si dissocia in ioni idratati sodio e cloruro.",1
Chimica,Chimica organica,La formula generale degli alcani aciclici saturi è:,CnH2n,CnH2n+2,CnH2n-2,CnHn,CnH2nO,B,"Gli alcani saturi lineari o ramificati seguono la formula CnH2n+2.",2
Chimica,Cinetica chimica,Se la temperatura aumenta la velocità di molte reazioni aumenta perché:,diminuisce la concentrazione dei reagenti,aumenta il numero di urti efficaci,la costante di Avogadro cambia,i prodotti diventano più stabili,il catalizzatore si consuma,B,"A temperature più alte una quota maggiore di molecole supera l'energia di attivazione.",2
Chimica,Biochimica,Il pH fisiologico del sangue umano è circa:,"1,7","7,4",10,14,9,B,"Il sangue viene mantenuto entro un intervallo stretto attorno a 7,4 da sistemi tampone e regolazione fisiologica.",2
