materia,argomento,domanda,A,B,C,D,E,corretta,spiegazione,difficolta
Biologia,Biologia cellulare,"Quale tra le seguenti strutture è presente sia nelle cellule procariotiche sia in quelle eucariotiche?",Mitocondrio,Ribosoma,Apparato di Golgi,Lisosoma,Cloroplasto,B,"I ribosomi sono presenti in tutti i tipi cellulari; gli altri organuli elencati sono tipici delle cellule eucariotiche.",2
Biologia,Biologia cellulare,"Se una cellula animale viene posta in una soluzione fortemente ipotonica, quale evento è più probabile?",Perde acqua e si raggrinzisce,Non avviene alcun flusso netto di acqua,Assorbe acqua e può andare incontro a lisi,Blocca la diffusione semplice,Produce ATP più rapidamente,C,"In ambiente ipotonico l'acqua entra nella cellula per osmosi; una cellula animale, priva di parete, può rompersi.",2
Biologia,Genetica,"Due genitori fenotipicamente sani hanno un figlio affetto da una malattia autosomica recessiva. Qual è la probabilità che un loro secondo figlio sia sano ma portatore?",1/4,1/2,3/4,1/3,2/3,B,"Se i genitori sono entrambi eterozigoti, la distribuzione attesa è 1/4 sano non portatore, 1/2 sano portatore, 1/4 affetto.",3
Biologia,Genetica molecolare,"Quale affermazione descrive correttamente la replicazione del DNA?",Avviene solo nel citoplasma e genera una molecola di RNA,È conservativa perché il DNA parentale resta intatto,È semiconservativa perché ogni doppia elica figlia contiene un filamento parentale e uno neosintetizzato,Richiede ribosomi e tRNA,Produce direttamente proteine,C,"La replicazione del DNA è semiconservativa: ciascuna molecola figlia eredita un filamento originario e ne sintetizza uno nuovo.",2
Biologia,Divisione cellulare,"Il crossing-over avviene normalmente durante:",la profase della mitosi,la metafase I della meiosi,la profase I della meiosi,l'anafase II della meiosi,la telofase della mitosi,C,"Lo scambio di segmenti tra cromosomi omologhi avviene in profase I, contribuendo alla variabilità genetica.",2
Biologia,Biochimica,"Quale tra le seguenti molecole NON è un polimero biologico?",Amido,Proteina,DNA,Trigliceride,Cellulosa,D,"Il trigliceride è un lipide formato da glicerolo e acidi grassi, non un polimero di monomeri ripetuti come gli altri composti elencati.",2
Biologia,Fotosintesi,"Nelle piante superiori l'ossigeno liberato durante la fotosintesi deriva principalmente da:",anidride carbonica,glucosio,acqua,clorofilla,NADPH,C,"L'ossigeno molecolare prodotto nella fotosintesi deriva dalla fotolisi dell'acqua nelle reazioni luminose.",3
Biologia,Respirazione cellulare,"Quale processo produce direttamente la maggior quantità di ATP in una cellula eucariotica aerobica?",Glicolisi,Ciclo di Krebs,Fermentazione lattica,Fosforilazione ossidativa,Decarbossilazione del piruvato,D,"La maggior parte dell'ATP viene prodotta nella fosforilazione ossidativa grazie al gradiente protonico e all'ATP sintasi.",3
Biologia,Fisiologia umana,"L'emoglobina trasporta ossigeno nel sangue perché:",è un lipide insolubile,contiene ferro in grado di legare reversibilmente O2,si trova disciolta nel plasma come enzima,è prodotta dai leucociti,ha funzione di anticorpo,B,"L'emoglobina è una proteina dei globuli rossi con gruppi eme contenenti ferro che lega reversibilmente l'ossigeno.",2
Biologia,Immunologia,"Quale delle seguenti cellule appartiene all'immunità adattativa?",Neutrofilo,Macrofago,Linfocita B,Mastocita,Piastrina,C,"I linfociti B fanno parte dell'immunità adattativa e possono differenziarsi in plasmacellule produttrici di anticorpi.",2
Biologia,Evoluzione,"La selezione naturale agisce direttamente su:",il genotipo isolato dal fenotipo,le mutazioni future della popolazione,il fenotipo degli individui,i cromosomi omologhi in meiosi,l'energia disponibile nell'ecosistema,C,"La selezione naturale favorisce o sfavorisce fenotipi; il cambiamento delle frequenze geniche è una conseguenza a livello di popolazione.",3
Biologia,Ecologia,"In una piramide energetica il contenuto di energia disponibile tende a:",aumentare passando ai livelli trofici superiori,rimanere costante in tutti i livelli,diminuire passando ai livelli trofici superiori,annullarsi nei produttori,aumentare solo nei decompositori,C,"A ogni trasferimento trofico una parte significativa dell'energia viene dispersa, soprattutto sotto forma di calore.",2
Biologia,Sistema nervoso,"Durante il potenziale d'azione neuronale, la fase di depolarizzazione è dovuta principalmente a:",uscita di K+,ingresso di Na+,ingresso di Ca2+ dal reticolo,chiusura di tutti i canali ionici,idrolisi del glicogeno,B,"L'apertura rapida dei canali del sodio voltaggio-dipendenti causa l'ingresso di Na+ e la depolarizzazione.",3
Biologia,Genetica,"Se un carattere è legato al cromosoma X e recessivo, un maschio affetto trasmetterà l'allele mutato:",a tutti i figli maschi,solo alle figlie femmine,a tutti i figli,solo a metà dei figli maschi,a nessun figlio maschio,B,"Il padre trasmette il cromosoma Y ai figli maschi e il cromosoma X alle figlie; quindi l'allele X-mutato va alle figlie.",3
Biologia,Enzimologia,"Un aumento della temperatura oltre il valore ottimale riduce spesso l'attività enzimatica perché:",aumenta troppo la concentrazione del substrato,diminuisce la massa dell'enzima,altera la struttura tridimensionale dell'enzima,impedisce la diffusione dell'acqua,trasforma l'enzima in un lipide,C,"Temperature eccessive possono denaturare l'enzima, modificando il sito attivo e riducendo la catalisi.",2
