materia,argomento,domanda,A,B,C,D,E,corretta,spiegazione,difficolta
Fisica,Meccanica,Qual è l'unità di misura della forza nel Sistema Internazionale?,Joule,Pascal,Newton,Watt,Coulomb,C,"La forza si misura in newton che equivale a kg·m/s².",1
Fisica,Meccanica,Se la velocità di un corpo raddoppia in un intervallo di tempo costante l'accelerazione:,rimane sempre nulla,è negativa,raddoppia rispetto alla velocità iniziale,è diversa da zero se la velocità cambia,diventa automaticamente costante,D,"L'accelerazione misura la variazione di velocità nel tempo; se la velocità cambia allora non è nulla.",1
Fisica,Cinematica,Un corpo che si muove con velocità costante in linea retta ha:,accelerazione costante diversa da zero,accelerazione nulla,forza risultante sempre crescente,moto circolare uniforme,energia cinetica nulla,B,"Nel moto rettilineo uniforme la velocità non varia né in modulo né in direzione.",1
Fisica,Dinamica,La seconda legge di Newton si esprime con la relazione:,F = m/a,F = ma,p = mv,E = mc2,V = RI,B,"La forza risultante su un corpo è pari al prodotto tra massa e accelerazione.",1
Fisica,Lavoro ed energia,L'energia potenziale gravitazionale di un corpo vicino alla superficie terrestre aumenta se:,diminuisce la sua massa,scende verso il basso,aumenta la quota,si annulla la gravità,il corpo rallenta,C,"L'energia potenziale gravitazionale è proporzionale all'altezza rispetto a un livello di riferimento.",1
Fisica,Termodinamica,Il calore è:,una sostanza contenuta nei corpi,energia trasferita per differenza di temperatura,uguale alla temperatura assoluta,sempre conservato in ogni corpo,una forza di contatto,B,"Il calore non è una sostanza ma una modalità di trasferimento di energia.",1
Fisica,Fluidi,La pressione è definita come:,forza per volume,forza per superficie,energia per massa,massa per volume,lavoro per tempo,B,"La pressione è il rapporto tra la forza perpendicolare applicata e l'area su cui agisce.",1
Fisica,Ottica,In un mezzo omogeneo la luce si propaga:,solo in linea curva,sempre con velocità nulla,in linea retta,se cambia colore,solo se il mezzo è metallico,C,"In un mezzo omogeneo e isotropo la propagazione rettilinea è una buona approssimazione.",1
Fisica,Elettricità,La corrente elettrica è il flusso ordinato di:,protoni,neutroni,elettroni o cariche elettriche,onde sonore,fotoni,C,"La corrente elettrica rappresenta movimento ordinato di cariche.",1
Fisica,Elettricità,La legge di Ohm per un conduttore ohmico è:,V = RI,P = VI,F = qE,Q = mcΔT,R = ρl/A,A,"La differenza di potenziale ai capi di un resistore è data dal prodotto tra resistenza e corrente.",1
Fisica,Onde,La frequenza di un'onda si misura in:,metri,secondi,hertz,newton,joule,C,"L'hertz corrisponde a un'oscillazione al secondo.",1
Fisica,Meccanica,In assenza di attrito un corpo lanciato verso l'alto:,sale con velocità costante,accelera verso l'alto,subisce accelerazione verso il basso,non subisce peso,mantiene energia cinetica costante,C,"La gravità agisce sempre verso il basso rallentando il corpo in salita.",2
Fisica,Termodinamica,La temperatura assoluta si misura in:,gradi Celsius,kelvin,bar,calorie,atmosfere,B,"Nel Sistema Internazionale la temperatura termodinamica si misura in kelvin.",1
Fisica,Elettrostatica,Due cariche elettriche dello stesso segno:,si attraggono sempre,si respingono,non interagiscono,si annullano,si trasformano in massa,B,"Cariche dello stesso segno esercitano una forza repulsiva reciproca.",1
Fisica,Magnetismo,Un magnete ha sempre:,solo polo nord,solo polo sud,un polo elettrico e uno magnetico,due poli opposti,temperatura costante,D,"I magneti permanenti presentano sempre due poli opposti, nord e sud.",1
Fisica,Ottica,Una lente convergente può formare di un oggetto reale:,solo immagini virtuali,solo immagini capovolte,immagini reali o virtuali a seconda della posizione dell'oggetto,solo immagini uguali all'oggetto,mai immagini ingrandite,C,"Per oggetti oltre il fuoco forma immagini reali; entro il fuoco forma immagini virtuali.",3
Fisica,Meccanica,La quantità di moto di un corpo è data da:,massa più velocità,massa per velocità,forza per tempo,lavoro per spostamento,energia per tempo,B,"La quantità di moto è il prodotto vettoriale tra massa e velocità.",2
Fisica,Fluidi,Secondo il principio di Archimede un corpo immerso in un fluido riceve una spinta verso l'alto pari:,al proprio peso,al peso del fluido spostato,alla densità del corpo,al volume del corpo in metri cubi,alla pressione atmosferica,B,"La spinta di Archimede dipende dal peso del fluido spostato.",2
Fisica,Onde,Il periodo di un'onda è:,l'inverso della frequenza,uguale all'ampiezza,sempre pari a 1 secondo,la distanza tra due creste,la velocità dell'onda,A,"Periodo e frequenza sono grandezze inverse: T = 1/f.",2
Fisica,Energia,La potenza meccanica è il rapporto tra:,forza e massa,lavoro compiuto e tempo impiegato,energia interna e volume,pressione e superficie,carica elettrica e tempo,B,"La potenza misura la rapidità con cui viene compiuto lavoro o trasferita energia.",2
