materia,argomento,domanda,A,B,C,D,E,corretta,spiegazione,difficolta
Biologia,Biologia cellulare,Quale organulo è il principale responsabile della produzione di ATP nella cellula eucariotica?,Lisosoma,Mitocondrio,Ribosoma,Apparato di Golgi,Nucleo,B,"Il mitocondrio è la sede principale della respirazione cellulare aerobica e della sintesi di ATP.",1
Biologia,Biologia cellulare,La membrana plasmatica è definita a mosaico fluido perché:,è rigida ma attraversata da pori fissi,contiene solo lipidi saturi,le proteine possono muoversi nel doppio strato fosfolipidico,è composta da una sola fila di fosfolipidi,si dissolve facilmente in acqua,C,"Nel modello a mosaico fluido lipidi e molte proteine di membrana hanno mobilità laterale.",1
Biologia,Genetica,Quale base azotata è presente nell'RNA ma non nel DNA?,Timina,Uracile,Citosina,Guanina,Adenina,B,"L'RNA contiene uracile al posto della timina.",1
Biologia,Genetica,In un individuo eterozigote per un carattere mendeliano dominante quale genotipo è corretto?,AA,Aa,aa,BB,AB,B,"Eterozigote significa possedere due alleli diversi dello stesso gene.",1
Biologia,Divisione cellulare,Durante la mitosi le cromatidi sorelle si separano nella fase di:,profase,metafase,anafase,telofase,citodieresi,C,"In anafase i centromeri si dividono e le cromatidi sorelle migrano ai poli opposti.",2
Biologia,Respirazione cellulare,La glicolisi avviene principalmente:,nel nucleo,nel citoplasma,nei lisosomi,nei cloroplasti,nel reticolo endoplasmatico,B,"La glicolisi è una via metabolica citoplasmatica comune a cellule procariotiche ed eucariotiche.",1
Biologia,Fotosintesi,Il pigmento che assorbe maggiormente l'energia luminosa nelle piante è:,xantofilla,clorofilla a,melanina,emoglobina,carotene,B,"La clorofilla a è il pigmento fotosintetico principale.",1
Biologia,Evoluzione,Secondo la selezione naturale un carattere tende a diffondersi se:,riduce la probabilità di sopravvivenza,aumenta il successo riproduttivo dell'individuo,compare in tutti gli individui della specie,è sempre recessivo,non è ereditabile,B,"I caratteri che aumentano il successo riproduttivo tendono ad aumentare di frequenza nella popolazione.",2
Biologia,Apparato digerente,Quale enzima inizia la digestione dell'amido nella bocca?,Pepsina,Amilasi salivare,Tripsina,Lipasi,Enterochinasi,B,"L'amilasi salivare avvia la digestione dei carboidrati complessi già nel cavo orale.",1
Biologia,Sistema circolatorio,Le arterie si distinguono dalle vene perché:,trasportano sempre sangue ossigenato,hanno pareti più spesse e più elastiche,contengono sempre valvole interne,hanno pressione sempre nulla,sono formate solo da tessuto epiteliale,B,"Le arterie sopportano pressioni più elevate e hanno pareti più spesse ed elastiche.",1
Biologia,Immunologia,Gli anticorpi sono prodotti principalmente da:,eritrociti,piastrine,linfociti B differenziati in plasmacellule,neuroni,macrofagi,C,"Le plasmacellule derivano dai linfociti B attivati e secernono anticorpi specifici.",2
Biologia,Ecologia,In una catena alimentare gli organismi autotrofi sono di solito:,consumatori primari,produttori,decompositori,predatori apicali,parassiti,B,"Gli autotrofi producono materia organica a partire da sostanze inorganiche e costituiscono la base della catena.",1
Biologia,Genetica molecolare,La trascrizione è il processo con cui:,si duplica il DNA,si sintetizza RNA a partire da DNA,si assemblano aminoacidi in una proteina,si degradano proteine nel lisosoma,si formano ATP nei mitocondri,B,"Durante la trascrizione un tratto di DNA funge da stampo per la sintesi di RNA.",2
Biologia,Enzimologia,Un enzima accelera una reazione perché:,fornisce energia alla reazione,aumenta la temperatura del sistema,abbassa l'energia di attivazione,cambia definitivamente i prodotti,consuma i reagenti più lentamente,C,"Gli enzimi catalizzano le reazioni abbassando l'energia di attivazione senza spostare l'equilibrio finale.",2
Biologia,Meiosi,La meiosi produce normalmente:,due cellule diploidi identiche,due cellule aploidi identiche,quattro cellule aploidi geneticamente diverse,quattro cellule diploidi identiche,una sola cellula aploide,C,"La meiosi comporta due divisioni successive e genera quattro cellule aploidi variabili.",2
Biologia,Sistema nervoso,La trasmissione dell'impulso nervoso lungo l'assone dipende soprattutto da:,sintesi di glucosio,spostamento di ioni attraverso la membrana,contrazione dei microtubuli,formazione di anticorpi,replicazione del DNA,B,"Il potenziale d'azione è legato ai flussi di sodio e potassio attraverso la membrana neuronale.",2
Biologia,Genetica,Se due genitori eterozigoti Aa hanno un figlio quale probabilità c'è di ottenere un individuo aa?,100%,75%,50%,25%,0%,D,"L'incrocio Aa x Aa produce i genotipi AA, Aa, Aa e aa: la probabilità di aa è 1 su 4.",2
Biologia,Biochimica,Quale tra queste molecole è un monosaccaride?,Saccarosio,Amido,Glucosio,Glicogeno,Cellulosa,C,"Il glucosio è uno zucchero semplice; gli altri composti elencati sono di- o polisaccaridi.",1
Biologia,Genetica molecolare,Il codice genetico è definito degenerato perché:,varia in ogni tessuto,più codoni possono specificare lo stesso amminoacido,ogni codone codifica per più proteine,si trova solo nei procarioti,usa basi non standard,B,"La degenerazione del codice indica ridondanza: più triplette possono codificare lo stesso aminoacido.",3
Biologia,Fisiologia,In condizioni normali l'insulina contribuisce a:,aumentare la glicemia,stimolare il rilascio di glucosio dal fegato,abbassare la glicemia favorendo l'ingresso del glucosio nelle cellule,aumentare la degradazione del glicogeno,bloccare la sintesi proteica,C,"L'insulina promuove l'utilizzo e l'immagazzinamento del glucosio riducendo la glicemia.",2
