materia,argomento,domanda,A,B,C,D,E,corretta,spiegazione,difficolta
Fisica,Cinematica,"Un'automobile passa da 10 m/s a 25 m/s in 3 s. Qual è la sua accelerazione media?",3 m/s²,5 m/s²,15 m/s²,35 m/s²,"0,2 m/s²",B,"L'accelerazione media è Δv/Δt = (25 - 10) / 3 = 5 m/s².",2
Fisica,Dinamica,"Se la risultante delle forze su un corpo è nulla, il corpo:",deve essere fermo,deve muoversi con velocità costante oppure restare fermo,deve avere massa nulla,deve muoversi in traiettoria circolare,deve aumentare sempre la sua energia cinetica,B,"Per il primo principio della dinamica, forza risultante nulla implica velocità costante, che può anche essere zero.",2
Fisica,Lavoro ed energia,"Quale grandezza si conserva in assenza di forze dissipative in un sistema meccanico isolato?",Solo l'energia cinetica,Solo l'energia potenziale,L'energia meccanica totale,La potenza,La pressione,C,"Senza attriti o altre dissipazioni, la somma di energia cinetica e potenziale rimane costante.",2
Fisica,Fluidi,"Una pressione di 2000 Pa equivale a:",2000 N·m,2000 N/m²,2000 J/s,2000 kg/m³,2000 W,B,"Il pascal è definito come newton per metro quadrato.",1
Fisica,Termodinamica,"Se si fornisce calore a un gas ideale a volume costante, quale grandezza sicuramente aumenta?",Il volume,La temperatura,La pressione esterna nulla,La massa molare,La costante dei gas,B,"A volume costante l'energia interna del gas ideale aumenta e quindi aumenta la temperatura.",2
Fisica,Elettricità,"Due resistori da 4 ohm collegati in serie hanno resistenza equivalente pari a:",2 ohm,4 ohm,8 ohm,16 ohm,"0,5 ohm",C,"In serie le resistenze si sommano: 4 + 4 = 8 ohm.",1
Fisica,Elettricità,"In un conduttore ohmico attraversato da corrente, se la differenza di potenziale raddoppia e la resistenza resta costante, la corrente:",si dimezza,raddoppia,resta costante,quadruplica,si annulla,B,"Per la legge di Ohm I = V/R: a resistenza costante, se V raddoppia anche I raddoppia.",2
Fisica,Ottica,"Un raggio luminoso che passa dall'aria all'acqua si avvicina alla normale perché nell'acqua:",la velocità della luce è maggiore,la frequenza della luce aumenta,l'indice di rifrazione è maggiore,la lunghezza d'onda si annulla,non avviene rifrazione,C,"Entrando in un mezzo con indice maggiore la velocità diminuisce e il raggio si avvicina alla normale.",3
Fisica,Onde,"In un'onda meccanica trasversale, la direzione di oscillazione delle particelle del mezzo è:",parallela alla direzione di propagazione,perpendicolare alla direzione di propagazione,sempre nulla,uguale alla direzione del campo elettrico,opposta al vettore peso,B,"Nelle onde trasversali l'oscillazione del mezzo è perpendicolare alla propagazione.",2
Fisica,Meccanica,"Un corpo di massa 2 kg soggetto a una forza costante di 6 N acquista un'accelerazione di:",12 m/s²,6 m/s²,4 m/s²,3 m/s²,1/3 m/s²,D,"Per la seconda legge di Newton a = F/m = 6/2 = 3 m/s².",2
Fisica,Termodinamica,"La scala Kelvin differisce dalla Celsius perché:",usa intervalli di grado diversi,ha lo zero assoluto come origine,misura il calore invece della temperatura,non può essere usata nei gas,vale solo per solidi,B,"Kelvin e Celsius hanno lo stesso passo ma diversa origine: 0 K corrisponde allo zero assoluto.",2
Fisica,Gravitazione,"Il peso di un corpo:",coincide sempre con la sua massa,è una forza dovuta all'attrazione gravitazionale,si misura in chilogrammi,è indipendente dal luogo,è nullo sulla Terra solo nei liquidi,B,"Il peso è la forza con cui un corpo viene attratto gravitazionalmente da un pianeta o altro astro.",1
Fisica,Elettrostatica,"Il lavoro compiuto per spostare una carica positiva tra due punti dipende principalmente dalla:",massa della carica,differenza di potenziale tra i due punti,temperatura del circuito,frequenza dell'onda luminosa,pressione atmosferica,B,"Nel campo elettrico il lavoro per unità di carica è legato alla differenza di potenziale.",3
Fisica,Magnetismo,"Una carica elettrica in moto in un campo magnetico uniforme può subire:",sempre una forza parallela alla velocità,una forza perpendicolare sia alla velocità sia al campo,solo una variazione di massa,solo una variazione di temperatura,nessuna forza mai,B,"La forza di Lorentz è perpendicolare sia alla velocità della carica sia al campo magnetico.",4
Fisica,Ottica geometrica,"Una lente convergente forma un'immagine reale capovolta di un oggetto quando l'oggetto si trova:",fra la lente e il fuoco,esattamente nel fuoco,oltre il fuoco,in contatto con la lente,solo all'infinito,C,"Per oggetti posti oltre la distanza focale una lente convergente produce immagini reali e capovolte.",3
